Time (ps),fter lsq fit to Backbone
504.6200256,0.3886363
505.6200256,0.3885226
506.6200256,0.4032704
507.6200256,0.4071447
508.6200256,0.4029670
509.3100281,0.3977782
510.3100281,0.4009819
511.3100281,0.4134446
512.3099976,0.4257444
513.3099976,0.4156817
514.3099976,0.4139578
515.3099976,0.4037886
516.3099976,0.4060751
516.8800049,0.3811849
517.8800049,0.3930432
518.8800049,0.4062136
519.8800049,0.4090379
520.8800049,0.4022401
521.8800049,0.4080172
522.8800049,0.4176220
523.8800049,0.4204118
524.8800049,0.3858211
525.5000000,0.3792050
526.5000000,0.4003682
527.5000000,0.3831508
528.5000000,0.4009717
529.5000000,0.4201966
530.5000000,0.4066455
531.5000000,0.4170527
532.5000000,0.4094315
533.8699951,0.3976800
534.8699951,0.3956666
535.8699951,0.3993072
536.8699951,0.4076903
537.8699951,0.3895485
538.8699951,0.4050673
539.8700562,0.4015371
540.8700562,0.3876033
542.2700195,0.3824383
543.2700195,0.3961127
544.2700195,0.3978078
545.2700195,0.4057645
546.2700195,0.4310946
547.2700195,0.4162848
548.2700195,0.3909143
549.2700195,0.4156106
550.3600464,0.4252177
551.3600464,0.4309838
552.3600464,0.4220170
553.3600464,0.4280958
554.3600464,0.4215645
555.3600464,0.4212065
556.3600464,0.4269597
557.3600464,0.4155764
558.4400024,0.4316264
559.4400024,0.4464504
560.4400024,0.4306675
561.4400024,0.4335463
562.4400024,0.4260562
563.4400024,0.4237423
564.4400024,0.4170065
565.4400024,0.4087911
566.4400024,0.4195694
566.9500122,0.4313822
567.9500122,0.3892020
568.9500122,0.4059944
569.9500122,0.4060347
570.9500122,0.3931624
571.9500122,0.4024779
572.9500122,0.3833710
573.9500122,0.3876427
574.9500122,0.3833985
575.7300415,0.4078842
576.7300415,0.4004849
577.7300415,0.3862751
578.7300415,0.3871275
579.7300415,0.3800876
580.7300415,0.4092124
581.7300415,0.3926822
582.7300415,0.3999507
583.7300415,0.4052456
584.3200073,0.3956715
585.3200073,0.4071903
586.3200073,0.4084818
587.3200073,0.4025062
588.3200073,0.4226783
589.3200073,0.3958226
590.3200073,0.4009928
591.3200073,0.3938839
592.3200073,0.3772784
593.0000000,0.3914380
594.0000000,0.3874956
595.0000000,0.3732615
596.0000000,0.3755893
597.0000000,0.4001753
598.0000000,0.3842054
599.0000000,0.3868578
600.0000000,0.3795522
601.0000000,0.3878370
601.5500488,0.3938736
602.5500488,0.3882697
603.5500488,0.3689626
604.5500488,0.3930930
605.5500488,0.3803447
606.5500488,0.3934760
607.5500488,0.3940559
608.5500488,0.3712147
609.5500488,0.4008511
610.0700073,0.4062247
611.0700073,0.3903311
612.0700073,0.4080093
613.0700073,0.3905567
614.0700073,0.3995670
615.0700073,0.4011466
616.0700073,0.4128719
617.0700073,0.4019672
618.1400146,0.4181289
619.1400146,0.4153313
620.1400146,0.4154867
621.1400146,0.4119399
622.1400146,0.3844659
623.1400146,0.3862066
624.1400146,0.3702123
625.1400146,0.3807446
626.1400146,0.4008988
627.0300293,0.3774932
628.0300293,0.3917841
629.0300293,0.3943428
630.0300293,0.3991779
631.0300293,0.4021553
632.0300293,0.3902272
633.0300293,0.3804665
634.0300293,0.3853315
635.0300293,0.3948795
635.7000122,0.4014739
636.7000122,0.3910707
637.7000122,0.3899533
638.7000122,0.3975523
639.7000122,0.3802605
640.7000122,0.4157326
641.7000122,0.4046625
642.7000122,0.3950245
644.1600342,0.3866767
645.1600342,0.4030852
646.1600342,0.3910553
647.1600342,0.3803111
648.1600342,0.3873022
649.1600342,0.3914673
650.1600342,0.3937698
651.1600342,0.3856035
652.6400146,0.3561786
653.6400146,0.3926049
654.6400146,0.3802245
655.6400146,0.3831913
656.6400146,0.3946916
657.6400146,0.3694643
658.6400146,0.3716029
659.6400146,0.3900826
661.0600586,0.3740095
662.0600586,0.3877752
663.0600586,0.3690762
664.0600586,0.3711169
665.0600586,0.3731525
666.0600586,0.3684842
667.0600586,0.3917209
668.0600586,0.3786147
669.0600586,0.3782370
669.6400146,0.3976365
670.6400146,0.3871677
671.6400146,0.3849028
672.6400146,0.3763869
673.6400146,0.3932010
674.6400146,0.3622079
675.6400146,0.3680820
676.6400146,0.3581865
677.6800537,0.3680605
678.6800537,0.3632626
679.6800537,0.3701214
680.6800537,0.3807022
